algorithm,seed,cumulative_regret,average_reward,optimal_round,param_error
Q-TS,42,0.015909552574157715,0.9763611725853691,,0.11560710642439023
Q-TS,43,0.01822972297668457,0.9837828372400189,,0.3158207728096759
Q-TS,44,0.01663672924041748,0.9786586847318152,,0.3145946681731172
Q-TS,45,0.01607990264892578,0.9769419014805168,,0.1830006530943435
Q-TS,46,0.015877485275268555,0.9781711118787149,,0.1044044068953317
Q-TS,47,0.01603245735168457,0.9780119516238719,,0.04540635784053347
Q-TS,48,0.01614964008331299,0.979713486784344,183,0.2290916695474009
Q-TS,49,0.01638650894165039,0.9788375626957837,,0.08578447811557234
Q-TS,50,0.015641093254089355,0.977579618594205,,0.24270720048199726
Q-TS,51,0.012984752655029297,0.9826858985310446,,0.6236933813816916
Q-CUCB,42,0.014981508255004883,0.9815379215729111,,0.2639380931790228
Q-CUCB,43,0.021142125129699707,0.9815407366697124,,0.4229367739650286
Q-CUCB,44,0.013960599899291992,0.9840256636849493,,0.30714404398040807
Q-CUCB,45,0.016411900520324707,0.9850403463247608,,0.11606109767371947
Q-CUCB,46,0.01305699348449707,0.9829062410245271,,0.18208968609489268
Q-CUCB,47,0.016056537628173828,0.9773338736025836,,0.039770788519268796
Q-CUCB,48,0.018596768379211426,0.978689837433986,,0.17536658912738726
Q-CUCB,49,0.016141295433044434,0.9769716334829824,,0.19758527912724702
Q-CUCB,50,0.032221198081970215,0.9824049221750861,,0.3699347469166778
Q-CUCB,51,0.01699972152709961,0.9843087749259332,,0.15598367192438017
Q-Neural,42,0.010396957397460938,0.9783509943185257,,0.08849755848381409
Q-Neural,43,0.015061497688293457,0.9789641916229526,,0.60111935834413
Q-Neural,44,0.010027408599853516,0.9853052607935575,,0.10409407504490827
Q-Neural,45,0.01132822036743164,0.980901957044794,,0.4373879007277073
Q-Neural,46,0.0385817289352417,0.9831971263226268,,0.2550992372502021
Q-Neural,47,0.015494465827941895,0.9784404253116006,,0.44475468977190746
Q-Neural,48,0.01128840446472168,0.983272705162251,,0.24306542500178824
Q-Neural,49,0.01956319808959961,0.978697940461842,,0.05283816600427682
Q-Neural,50,0.008440256118774414,0.9816882811274009,,0.28315053207847674
Q-Neural,51,0.007694602012634277,0.9779653525386994,,0.16083012884131392
