algorithm,seed,cumulative_regret,average_reward,optimal_round,param_error
Q-TS,42,0.017122626304626465,0.9763614467667351,,0.26864705603954886
Q-TS,43,0.016365885734558105,0.9837869451921368,,0.22339170532275934
Q-TS,44,0.016522526741027832,0.978658128024433,,0.14790956496464264
Q-TS,45,0.016016721725463867,0.9769415259712548,,0.028906987834422332
Q-TS,46,0.015816330909729004,0.978171088036857,,0.18351361249998874
Q-TS,47,0.016387462615966797,0.9780128206595927,,0.49360043497388073
Q-TS,48,0.01614832878112793,0.9797132984336665,,0.3116405507713695
Q-TS,49,0.016879558563232422,0.978836225167555,,0.018353760015510288
Q-TS,50,0.017290472984313965,0.9775821660967225,,0.3386808480130315
Q-TS,51,0.015458822250366211,0.9826849472409139,350,0.12567214685868552
Q-Neural,42,0.029797911643981934,0.9783427974877762,,0.11181963457516833
Q-Neural,43,0.005639910697937012,0.9789682626201908,,0.6637553573338599
Q-Neural,44,0.005851030349731445,0.985306693689218,,0.16507825372567347
Q-Neural,45,0.017913460731506348,0.9808994572259921,,0.07274158012326815
Q-Neural,46,0.01817774772644043,0.9832064222630259,,0.6337352922031214
Q-Neural,47,0.008266091346740723,0.9784429334750527,,0.6416812866242174
Q-Neural,48,0.009589076042175293,0.9832731307394147,,0.14187626220362234
Q-Neural,49,0.017656803131103516,0.9786987522771038,,0.059366784000754715
Q-Neural,50,0.017476320266723633,0.9816840277399497,,0.2496602335291885
Q-Neural,51,0.007908940315246582,0.9779654324089235,,0.30118044590392284
Q-CUCB,42,0.01564311981201172,0.9815387143146865,,0.2505960793809434
Q-CUCB,43,0.021019339561462402,0.9815349216405681,,0.4215285385380299
Q-CUCB,44,0.013578176498413086,0.9840377658120245,,0.4373718768733419
Q-CUCB,45,0.017361998558044434,0.9850389873388599,,0.10628492797910542
Q-CUCB,46,0.016108036041259766,0.9829037447820039,,0.13036414652875428
Q-CUCB,47,0.017681241035461426,0.9773336780993488,,0.10938133986856999
Q-CUCB,48,0.016675472259521484,0.9786961900970261,,0.3563463890528191
Q-CUCB,49,0.017947077751159668,0.9769760907183188,,0.1832132163304518
Q-CUCB,50,0.014972567558288574,0.9824106883284217,,0.17834876853072992
Q-CUCB,51,0.01571357250213623,0.9843070249335625,,0.16435944691914334
CUCB,42,0.010967493057250977,0.9802417504069563,,0.0
CUCB,43,0.010967493057250977,0.9822155250336954,,0.0
CUCB,44,0.010967493057250977,0.9826399148049002,,0.0
CUCB,45,0.010967493057250977,0.9810627592751123,,0.0
CUCB,46,0.010967493057250977,0.9793380744565687,,0.0
CUCB,47,0.010967493057250977,0.9804070351021801,,0.0
CUCB,48,0.010967493057250977,0.9812671343220487,,0.0
CUCB,49,0.010967493057250977,0.9818218885810363,,0.0
CUCB,50,0.010967493057250977,0.9826346281964666,,0.0
CUCB,51,0.010967493057250977,0.979138719601061,,0.0
CTS,42,0.016698598861694336,0.9812141892031385,,0.0
CTS,43,0.016605257987976074,0.985058862059883,,0.0
CTS,44,0.016491174697875977,0.9806707002693212,,0.0
CTS,45,0.01603257656097412,0.9796721576595998,,0.0
CTS,46,0.01595783233642578,0.9785251920523628,270,0.0
CTS,47,0.016019105911254883,0.9760407958714019,,0.0
CTS,48,0.016478538513183594,0.9789220375254828,,0.0
CTS,49,0.016779184341430664,0.9749826032109705,,0.0
CTS,50,0.016680121421813965,0.9731591700775664,,0.0
CTS,51,0.016399860382080078,0.9848462363710149,,0.0
CLinUCB,42,0.009320974349975586,0.9802424287078138,,0.0
CLinUCB,43,0.009368062019348145,0.9822161878373453,,0.0
CLinUCB,44,0.00930321216583252,0.9826405895294791,,0.0
CLinUCB,45,0.009402155876159668,0.981063721294079,,0.0
CLinUCB,46,0.009335517883300781,0.9793404419530591,,0.0
CLinUCB,47,0.00942683219909668,0.9804084763424907,,0.0
CLinUCB,48,0.009415984153747559,0.9812686244381681,,0.0
CLinUCB,49,0.009398579597473145,0.9818239079864013,,0.0
CLinUCB,50,0.009483575820922852,0.9826357857186682,,0.0
CLinUCB,51,0.009324431419372559,0.9791402907794974,,0.0
C2UCB,42,0.010967493057250977,0.9802417504069563,,0.0
C2UCB,43,0.010967493057250977,0.9822155250336954,,0.0
C2UCB,44,0.010967493057250977,0.9826399148049002,,0.0
C2UCB,45,0.010967493057250977,0.9810627592751123,,0.0
C2UCB,46,0.010967493057250977,0.9793380744565687,,0.0
C2UCB,47,0.010967493057250977,0.9804070351021801,,0.0
C2UCB,48,0.010967493057250977,0.9812671343220487,,0.0
C2UCB,49,0.010967493057250977,0.9818218885810363,,0.0
C2UCB,50,0.010967493057250977,0.9826346281964666,,0.0
C2UCB,51,0.010967493057250977,0.979138719601061,,0.0
NeuralTS,42,0.019910335540771484,0.9823990374148517,,0.0
NeuralTS,43,0.029123783111572266,0.9802329591172543,,0.0
NeuralTS,44,0.04501986503601074,0.9793753017758408,,0.0
NeuralTS,45,0.003981947898864746,0.9843044842531783,,0.0
NeuralTS,46,0.014695882797241211,0.9801601654097358,,0.0
NeuralTS,47,0.01186978816986084,0.9828610770222089,,0.0
NeuralTS,48,0.011644482612609863,0.9816722376426421,,0.0
NeuralTS,49,0.03254556655883789,0.9805816762871791,,0.0
NeuralTS,50,0.018251538276672363,0.9761648504864807,,0.0
NeuralTS,51,0.01078486442565918,0.981213831908196,,0.0
DeepUCB,42,0.019901275634765625,0.9806342517529164,,0.0
DeepUCB,43,0.013591408729553223,0.9793366120626885,,0.0
DeepUCB,44,0.006872892379760742,0.9849179181882246,,0.0
DeepUCB,45,0.020915746688842773,0.9821657754340188,,0.0
DeepUCB,46,0.006772160530090332,0.9820603675245682,,0.0
